,YEAR_x,TEAM,WINPERCENT_x,PREV_YEAR_x,GP_y,WINPERCENT_y,MIN_y,PTS_y,FGM_y,FGA_y,FGPercent_y,ThreePtMade_y,ThreePtAttempts_y,ThreePtPercent_y,FTM_y,FTA_y,FTPercent_y,OREB_y,DREB_y,REB_y,AST_y,TOV_y,STL_y,BLK_y,BLKA_y,PF_y,PFD_y,PlusMinus_y
0,2017-18,Golden State Warriors,0.792,2016-17,82,0.8170000000000001,48.2,115.9,43.1,87.1,49.5,12.0,31.2,38.3,17.8,22.6,78.8,9.4,35.0,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,11.6
1,2017-18,Houston Rockets,0.733,2016-17,82,0.6709999999999999,48.2,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5.0,19.9,20.4,5.8
2,2017-18,Boston Celtics,0.708,2016-17,82,0.6459999999999999,48.2,108.0,38.6,85.1,45.4,12.0,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,20.6,20.3,2.6
3,2017-18,Toronto Raptors,0.6890000000000001,2016-17,82,0.622,48.2,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6,32.6,43.3,18.5,12.7,8.3,4.9,4.8,20.8,20.3,4.2
4,2017-18,San Antonio Spurs,0.633,2016-17,82,0.7440000000000001,48.3,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22.0,79.7,10.0,33.9,43.9,23.8,13.4,8.0,5.9,4.1,18.3,19.8,7.2
5,2017-18,Minnesota Timberwolves,0.633,2016-17,82,0.37799999999999995,48.3,105.6,39.5,84.4,46.7,7.3,21.0,34.9,19.3,24.2,79.9,11.4,31.0,42.4,23.7,14.0,8.0,4.5,5.0,20.1,20.5,-1.1
6,2017-18,Cleveland Cavaliers,0.5870000000000001,2016-17,82,0.622,48.5,110.3,39.9,84.9,47.0,13.0,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,3.2
7,2017-18,Miami Heat,0.574,2016-17,82,0.5,48.2,103.2,39.0,85.8,45.5,9.9,27.0,36.5,15.2,21.6,70.6,10.6,33.0,43.6,21.2,13.4,7.2,5.7,4.9,20.5,18.7,1.1
8,2017-18,Oklahoma City Thunder,0.574,2016-17,82,0.573,48.3,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21.0,15.0,7.9,5.0,5.5,20.9,20.7,0.8
9,2017-18,Washington Wizards,0.5529999999999999,2016-17,82,0.598,48.4,109.2,41.3,87.0,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8,1.8
